tweet,entities
Why is it a “shock” surprise Pliber-suck won’t run for leader?! This is the Teflon lady. She knows next leader will be sacrificial lamb. 1/2 #auspol #plibersek #alpleadership,"['Why', 'Pliber', 'This', 'Teflon', 'She', '#auspol', '#plibersek', '#alpleadership']"
@zalisteggall @renate_rje And yet zero on YOUR house. Hypocrite. Get Up puppet #warringahvotes #auspol,"['@zalisteggall', '@renate_rje', 'And', 'Hypocrite', 'Get', 'Up', '#warringahvotes', '#auspol']"
Looks like the mad monk is gone. #ausvotes #auspoll #AUSVote19,"['Looks', '#ausvotes', '#auspoll', '#AUSVote19']"
@animae_c @RachelQuayle08 @CatirTweeting @WgarNews @WhteRbbnAdvocat @Ashrides @randlight @geoffrey_payne @LadyPoop2 @anne_clothier @GoldCoastNurse @noplaceforsheep @LesStonehouse @bevhenwood @MorpheusBeing @timsenior @AMSANTaus @GerryGeorgatos @prudinx @JennyPineapple2 @Triplejay58 @3wombats @rationalbitch @davrosz @DeboraMorf @SenatorDodson @JanaforKooyong @left_nt @ABCIndigenous @RobRobbEdwards @OddemocracyA Unfortunately in Australia their is nothing to prevent lying in election advertising. This needs to be dealt with.,"['@animae_c', '@RachelQuayle08', '@CatirTweeting', '@WgarNews', '@WhteRbbnAdvocat', '@Ashrides', '@randlight', '@geoffrey_payne', '@LadyPoop2', '@anne_clothier', '@GoldCoastNurse', '@noplaceforsheep', '@LesStonehouse', '@bevhenwood', '@MorpheusBeing', '@timsenior', '@AMSANTaus', '@GerryGeorgatos', '@prudinx', '@JennyPineapple2', '@Triplejay58', '@3wombats', '@rationalbitch', '@davrosz', '@DeboraMorf', '@SenatorDodson', '@JanaforKooyong', '@left_nt', '@ABCIndigenous', '@RobRobbEdwards', '@OddemocracyA', 'Unfortunately', 'Australia', 'This']"
What a selfish fucking country we Iive in #auspol,"['What', 'Iive', '#auspol']"
Plibersek warns unis on standards risk from international student boom https://t.co/Rdq7NsvIJV via @theage #auspol #ausvotes,"['Plibersek', '@theage', '#auspol', '#ausvotes']"
"People came all along from USA, Australia, Europe, Africa to vote but Diggi raja @digvijaya_28 sitting in Bhopal din't vote. Does he deserve to be elected representative. Shame on u ..
#Bhopal #AayegaToModiHi #ModiHaiToMumkinHai https://t.co/sMj49FGRdm","['People', 'Australia', 'Europe', 'Africa', 'Diggi', '@digvijaya_28', 'Bhopal', 'Does', 'Shame', '#Bhopal', '#AayegaToModiHi', '#ModiHaiToMumkinHai']"
#ausvotes https://t.co/PsheFWrTBl,['#ausvotes']
Can someone tell me what the plan is? Because I live in regional Australia and we haven’t yet been told. #ausvotes https://t.co/XMW76gAvVE,"['Can', 'Because', 'Australia', '#ausvotes']"
"Liberal / National Coalition fails at the seams of their predicted election loss, and its every senator for themselves #auspol #AusVotes2019  https://t.co/2hGFcEhxTl","['Liberal', 'National', 'Coalition', '#auspol', '#AusVotes2019']"
A nation roars! #auspol #grub https://t.co/86BPMMT9VU,"['#auspol', '#grub']"
"#CO2 levels:

1982 (when I was born): 341.45ppm
1999 (finished high school): 368.38
2012 (finished the PhD): 393.85
Today: 415. Highest level in at least the last 800,000 years. Probably millions of years 

Scary! #climatechange #auspol #AUSVote2019 https://t.co/VmGLLoT0U4","['#CO2', 'Today', 'Highest', 'Probably', 'Scary', '#climatechange', '#auspol', '#AUSVote2019']"
Well done to the people of #Warringah for finally flushing the massive turd... #AusVotes2019 #ausvotes https://t.co/s44sn17Zs3,"['Well', '#Warringah', '#AusVotes2019', '#ausvotes']"
@msrose2343 Seems to be a bit of a change today ... they broadcast Bill announcing increased funding to #OurABC and he’s answering questions now 🤔😂 Self interest seems to have won the day #auspol #Election2019,"['@msrose2343', 'Seems', 'Bill', '#OurABC', 'Self', '#auspol', '#Election2019']"
How you can support arts and culture with your vote. #auspol2019 #auspol #ArtsImprovesLives @ArtsHub https://t.co/rkDlWvt1KT https://t.co/nD4dFL0HZO,"['How', '#auspol2019', '#auspol', '#ArtsImprovesLives', '@ArtsHub']"
"Albo doesn't do it for me. His time was 6 years ago imo

#abc730 #auspol","['Albo', 'His', '#abc730', '#auspol']"
"I love Election Day. Never take it for granted. Voted early, #DemocracySausage for breakfast but now just the wait. 
Big shout-out to my colleagues @ballaratcourier keeping us informed and into the night. Lot of hard work to get ready for today #ausvotes","['Election', 'Day', 'Never', 'Voted', '#DemocracySausage', 'Big', '@ballaratcourier', 'Lot', '#ausvotes']"
"Vale Bob Hawke, you were a fair man &amp; generated my life long interest in Politics &amp; I thank you.
RIP.
#auspol","['Vale', 'Bob', 'Hawke', 'Politics', '#auspol']"
@KAK COLONIALIST MOLE! Welcome to 2019 where you are irrelevant and people under 35 are taking control of the inter-generational theft you've been getting away with for years! #voteemout #proudlygay #gobacktoyourhole #auspol,"['@KAK', 'Welcome', '#voteemout', '#proudlygay', '#gobacktoyourhole', '#auspol']"
"🍿🍿🍿🍿 
#auspol #ausvotes19 https://t.co/6FblNg7DwN","['#auspol', '#ausvotes19']"
A very fitting finale to the #Wombattrail. Mooooove! @politicsabcc #auspol #ausvotes ⁦@mjrowland68⁩ https://t.co/wD2e6Et5f9,"['#Wombattrail', 'Mooooove', '@politicsabcc', '#auspol', '#ausvotes', '@mjrowland68']"
@AusElectoralCom Thanks for the response but not many people know that (voter of 20 years here) . You should also be providing options for people such as pens and signs advising that they can use pen and on the website. It's not very clear. Cheers. #auspol #ausvotes,"['@AusElectoralCom', 'Thanks', 'You', 'It', 'Cheers', '#auspol', '#ausvotes']"
@ShingvWorld Appalling. A shame there wasn’t an adult in the room. #auspol https://t.co/EiP941Vu1p,"['@ShingvWorld', 'Appalling', '#auspol']"
"@mirandadevine @TonyAbbottMHR You can call a cow a chicken, but it will not lay any eggs for your breakfast. #Ausvotes #AusPol #GreensRanythingBut","['@mirandadevine', '@TonyAbbottMHR', 'You', '#Ausvotes', '#AusPol', '#GreensRanythingBut']"
"Employers pocketing $6 billion of workers' super each year, say industry funds https://t.co/DjEgiszuF4 #auspol","['Employers', '#auspol']"
2019 Australia election: Morrison's coalition seeking shock majority https://t.co/ow1NvtQNSF,"['Australia', 'Morrison']"
"Oh FFS, yet another story on #ABC730 asking “what will Labor’s policy on negative gearing do to property prices”. And, of course, a negative story which is totally opposite to what many experts are saying - there won’t be any effect to prices. #auspol #AusVotes2019","['Oh', '#ABC730', 'Labor', 'And', '#auspol', '#AusVotes2019']"
@newscomauHQ @ScottMorrisonMP Seriously how ridiculous and yes sickening. No class no social skills just an under developed unevolved juvenile. 🤢🤮🤢🤮#auspol #ausvotes19 #LNPfail,"['@newscomauHQ', '@ScottMorrisonMP', 'Seriously', 'No', '#auspol', '#ausvotes19', '#LNPfail']"
"Bill, the result you got wasn't helped by you taking advice from The Feed's ""comedy team"" (VICE owns the TV station they work for).
@AustralianLabor should take the center more seriously in future instead of writing us off as ""bigots"" and form policy accordingly.
#auspol https://t.co/oQLTVHPqjl","['Bill', 'The', 'Feed', '@AustralianLabor', '#auspol']"
Canning MP Andrew Hastie is tipped to hold on to his seat tonight but is still out and about in Falcon and Halls Head shaking hands and trying to lock down votes. #auspol #ausvotes @westaustralian https://t.co/ek9x89UdOI,"['Canning', 'Andrew', 'Hastie', 'Falcon', 'Halls', 'Head', '#auspol', '#ausvotes', '@westaustralian']"
"Take a lump of silicon to Parliament: 20,000 times better than coal: https://t.co/1ZMV2gUaUy #auspol #australiapm","['Take', 'Parliament', '#auspol', '#australiapm']"
"@Vic_Rollison These stories need to show how issues - penalty rates, wage theft, favoured treatment of donors - affect one person, or one contrasting pair, under the alternatives.

#auspol

4/6","['@Vic_Rollison', 'These', '#auspol']"
@Indigocathy A vote for @HelenHaines1 is a vote for the Greens. #orangecult🍊#PCMPP (Post Cathy McGowan Political Phase) #irrelevant #fibs #voicesinthewilderness #beyondbelief #nopolicies #noagenda #nobudget #IndiVotes #auspol #Emocracy #ClimateHysteria 🍊#morefibs,"['@Indigocathy', '@HelenHaines1', 'Greens', '#orangecult', '#PCMPP', 'Post', 'Cathy', 'Political', 'Phase', '#irrelevant', '#fibs', '#voicesinthewilderness', '#beyondbelief', '#nopolicies', '#noagenda', '#nobudget', '#IndiVotes', '#auspol', '#Emocracy', '#ClimateHysteria', '#morefibs']"
"#Auspol Partner laughed last night when I carefully copied out ALP HTVs from Internet, justincase. I was right, there was no ALP person handing out HTV at this tiny rural spot. You know what this means, don't you? Yep, I'll have to volunteer next time. = I get a say on policy.","['#Auspol', 'Partner', 'Internet', 'You', 'Yep']"
“The reality is that people in the seat of Dawson and the seat of Capricornia were concerned about local jobs.” - @GChristensenMP. Live coverage now on @Channel7 and streaming at https://t.co/b2rkakPwmk #ausvotes #7NEWS https://t.co/6KGTR51uHQ,"['The', 'Dawson', 'Capricornia', '@GChristensenMP', 'Live', '@Channel7', '#ausvotes', '#7NEWS']"
"Famed UFO researcher, Stanton Friedman, dead at 84 -- https://t.co/AvYFOpEbIN https://t.co/j4JyElAX2e Thought provoking News. NWO, R we Crackers the peoples news #auspol #climatechange #politics #election @SOTTnet","['Famed', 'Stanton', 'Friedman', 'Thought', 'News', 'Crackers', '#auspol', '#climatechange', '#politics', '#election', '@SOTTnet']"
"While it is funny it is also very, very scary.
The #LIBS are in the hand of a media Mogul that is NOT an Australian.
#auspol #murdoch #MSM https://t.co/x9qzHtGBo7","['While', 'The', '#LIBS', 'Mogul', 'Australian', '#auspol', '#murdoch', '#MSM']"
Post-election: What can your clients expect regarding LMITO? #tax #ausvotes @ato_gov_au #CPD https://t.co/SqkPcOIEnH https://t.co/9ae07dYhkK,"['Post', 'What', '#tax', '#ausvotes', '@ato_gov_au', '#CPD']"
"You know exactly who I am JA

You have been following me with all your fake accounts for months

Check with your failed mates at Emu Plains if your memory is that poor

#auspol #nswpol https://t.co/mx5QNskjUS","['You', 'You', 'Check', 'Emu', 'Plains', '#auspol', '#nswpol']"
2019 Australia election in 11 charts https://t.co/BxUJBdmIZf,['Australia']
"@LiberalAus @LiberalVictoria @ScottMorrisonMP #ScumMo #PretendPM #heybubbleboy 

@PeterDutton_MP 

Showing-humanity-for-Tamil-Family  Will not save you Political-Career.

It might make you appear:

**LESS-THAN-THE-DEVIL**

#auspol #ausvotes19 #AusVotes2019","['@LiberalAus', '@LiberalVictoria', '@ScottMorrisonMP', '#ScumMo', '#PretendPM', '#heybubbleboy', '@PeterDutton_MP', 'Showing', 'Tamil', 'Family', 'Will', 'Political', 'Career', 'It', '#auspol', '#ausvotes19', '#AusVotes2019']"
"Who else is stuck in the middle! 😕

#auspol2019 #ausvotes #ausvotes2019

image by chrisroytaylor (IG) https://t.co/WyPndU93K0","['Who', '#auspol2019', '#ausvotes', '#ausvotes2019']"
We're striking now! Not liking the polls so far. #auspol,"['We', 'Not', '#auspol']"
False election claims spark push for truth in political advertising laws https://t.co/Pged6YfEJh,['False']
"This is cool...CNN Do #DemocracySausage 

In Australia, sausages are a symbol of election day. Here's why - CNN https://t.co/HwvWm6hMEI #Auspol #AusVotes19","['This', 'Do', '#DemocracySausage', 'In', 'Australia', 'Here', '#Auspol', '#AusVotes19']"
VISIT WEBSITE Here's everything you need to know about Australia's election https://t.co/9lAlXelYRh AMERISLAMUNDERWAY https://t.co/VqMuOgtIfO,"['Here', 'Australia']"
"Our campaign bus has travelled Australia from top to bottom, pushing our campaign message. Thank you to everyone along the way who has shown their support for the one seat that matters!  #auspol #metamucil #turdwedeserve #gutandnuggetalliance https://t.co/d6Oc1c6Z1e","['Our', 'Australia', 'Thank', '#auspol', '#metamucil', '#turdwedeserve', '#gutandnuggetalliance']"
@SanLogica Mmm #democracysausage #auspol #AusVotes2019 https://t.co/MUGMzWVQBS,"['@SanLogica', 'Mmm', '#democracysausage', '#auspol', '#AusVotes2019']"
Standing with a nervous nation that still believes: @margokingston1 comments on #IndependentsDay #AusVotes https://t.co/Y2i7SBOvCJ,"['Standing', '@margokingston1', '#IndependentsDay', '#AusVotes']"
"@Donvoegt @abcnews Hey, what's this Clive Palmer in Fiji.
Hey @LiberalAus party and @ScottMorrisonMP what's the deal giving Clive your preferences
What a bloody mess you guys have put us in.
#auspol 
#Election2019 
#WhatAjokeYouAre","['@Donvoegt', '@abcnews', 'Hey', 'Clive', 'Palmer', 'Fiji', 'Hey', '@LiberalAus', '@ScottMorrisonMP', 'Clive', 'What', '#auspol', '#Election2019', '#WhatAjokeYouAre']"
@SecularScholar @SecularScarlet Australia has had an election and we are heading back to meet you.,"['@SecularScholar', '@SecularScarlet', 'Australia']"
"Parents returning to work will have 10-20% of tax sliced off picking up an extra day of work under Labor’s $4 billion childcare policy, indepedent modelling shows, delivering the largest tax windfall to primary carers in a generation. #auspol #Election2019 https://t.co/Xp5fHh9hOF","['Parents', 'Labor', '#auspol', '#Election2019']"
"@DebFrecklington @QLDLabor @billshortenmp @AnnastaciaMP oh dear this is unfortunate, speaking of people sacking workers
https://t.co/FVw6K73WxH","['@DebFrecklington', '@QLDLabor', '@billshortenmp', '@AnnastaciaMP']"
"The Left is Misunderstood. 🙄 A RAW! #Podcast.

- Senator Taki (n) Thepis (s) Papahatziharalambrous 🏴

#makeaustraliagrouseagain #senator #Papahatziharalambrous #RAW! The #alt #centre #party #comedy #satire #mockumentary #farce #vote #donkey #lol #Melbourne #Australia 🇦🇺","['The', 'Left', 'Misunderstood', '#Podcast', 'Senator', 'Taki', 'Thepis', 'Papahatziharalambrous', '#makeaustraliagrouseagain', '#senator', '#Papahatziharalambrous', '#RAW', 'The', '#alt', '#centre', '#party', '#comedy', '#satire', '#mockumentary', '#farce', '#vote', '#donkey', '#lol', '#Melbourne', '#Australia']"
"⁦⁦@AustralianLabor⁩ stands ..”for working parents..for cancer patients .. climate change. In contrast, the Coalition has narrowed its message to a defence of the privileges of the wealthy and the old.”  - New Matilda #Auspol #VoteLabor #equality  https://t.co/wWOZ9FXFtz","['@AustralianLabor', 'In', 'Coalition', 'New', 'Matilda', '#Auspol', '#VoteLabor', '#equality']"
"Labor with bring back fairness:

✅ a fairer education system

✅ better health care

✅ penalty rates 

✅ tackling gender inequality
  
✅ action on climate change 

Vote Labor in the House &amp; the Senate. 

#auspol #auspol2019 #australiavotes2019 #ausvotes #VoteLabor https://t.co/wIU8ngz0mR","['Labor', 'Vote', 'Labor', 'House', 'Senate', '#auspol', '#auspol2019', '#australiavotes2019', '#ausvotes', '#VoteLabor']"
#auspol Labor have made a lot of promises for Higher Ed - Here's what they'd cost: https://t.co/2cK8dXSxx9 https://t.co/mWS2cojB5y,"['#auspol', 'Labor', 'Higher', 'Ed', 'Here']"
".@ChrisReason7 reports media have not yet been allowed into @TonyAbbottMHR's Warringah election party at the Manly Leagues Club: ""A highly unusual move for a former prime minister."" Live coverage now on @Channel7 and streaming at https://t.co/YReZ2enOEh #ausvotes #7NEWS https://t.co/xpp6mxZZiV","['@ChrisReason7', '@TonyAbbottMHR', 'Warringah', 'Manly', 'Leagues', 'Club', 'Live', '@Channel7', '#ausvotes', '#7NEWS']"
Shorten: Labor will not be able to form the next government. And so in the national interest a short while ago I called Scott Morrison to congratulate him. @9NewsAUS #auspol,"['Shorten', 'Labor', 'And', 'Scott', 'Morrison', '@9NewsAUS', '#auspol']"
"Some neutral coverage from the ABC of Tony Abbott’s loss
#AustraliaDecides #ausvotes https://t.co/b9c5FA51hh","['Some', 'Tony', 'Abbott', '#AustraliaDecides', '#ausvotes']"
"Australia's election in 11 charts A visual look at the key issues in what some have called a ""generational election"".

from BBC News - World https://t.co/XSUet8gX4A","['Australia', 'News', 'World']"
"#WallStreet dipped on Friday, but SPI futures are suggesting the #ASX ought to edge-up 5 points this morning. The interest today will be how markets digest Saturday's shock #AUSVote19 result. The $AUD gapped this morning; keep an eye now on the banks. #auspol #ausbiz https://t.co/EF0CwKX85U","['#WallStreet', 'Friday', '#ASX', 'The', 'Saturday', '#AUSVote19', 'The', '#auspol', '#ausbiz']"
Is that @MathiasCormann perving at @senatorcash knees like he did with Chloe - what a sick man #auspol https://t.co/KliS41zhlq,"['Is', '@MathiasCormann', '@senatorcash', 'Chloe', '#auspol']"
"@Nc1908Neil @GeraldKutney @DarrinW74512672 @DawnTJ90 @gjcats @Barbarajdurkin @javierchesimo @manifesto2000 @oldfosil66 @SylviaD32911201 @drwaheeduddin @SombreGreen @YackyDoodleDnDy @KinkerMichards @eachus @Tangomitteckel @hoststhefartin1 @2013Boodicca @heymikey80 @BarbaraMcK42 @nemo_gratis @JaggerMickOZ @GillesnFio @dbirch214 @Lydienee @RogTallbloke @kuhn_reinhard @shookster1000 @Trismos @DenisCoghlan @Leigh252425 @nobadgers @CymaticWave @Chaologistician @TheEndisFar @carlblom_robert @rigga_mortis @Captbobdad @Tea4gunsSC @ScribesShade @steve_v999 @RonCrunt @tan123 @Carbongate @GretaThunberg @350 @350action @ToyotaMotorCorp @BMW “THE data doesn’t matter. We’re not basing our recommendations on the data. We’re basing them on the climate #models.”
– Prof. Chris Folland,
Hadley Centre for Climate Prediction &amp; Research https://t.co/PPgXOGFZo7 via @JWSpry #ClimateChange #Scam #Auspol #AusVotes2019 #Outsiders","['@Nc1908Neil', '@GeraldKutney', '@DarrinW74512672', '@DawnTJ90', '@gjcats', '@Barbarajdurkin', '@javierchesimo', '@manifesto2000', '@oldfosil66', '@SylviaD32911201', '@drwaheeduddin', '@SombreGreen', '@YackyDoodleDnDy', '@KinkerMichards', '@eachus', '@Tangomitteckel', '@hoststhefartin1', '@2013Boodicca', '@heymikey80', '@BarbaraMcK42', '@nemo_gratis', '@JaggerMickOZ', '@GillesnFio', '@dbirch214', '@Lydienee', '@RogTallbloke', '@kuhn_reinhard', '@shookster1000', '@Trismos', '@DenisCoghlan', '@Leigh252425', '@nobadgers', '@CymaticWave', '@Chaologistician', '@TheEndisFar', '@carlblom_robert', '@rigga_mortis', '@Captbobdad', '@Tea4gunsSC', '@ScribesShade', '@steve_v999', '@RonCrunt', '@tan123', '@Carbongate', '@GretaThunberg', '@350', '@350action', '@ToyotaMotorCorp', '@BMW', 'We', 'We', '#models', 'Prof', 'Chris', 'Folland', 'Hadley', 'Centre', 'Climate', 'Prediction', 'Research', '@JWSpry', '#ClimateChange', '#Scam', '#Auspol', '#AusVotes2019', '#Outsiders']"
@rgloveroz Whilst I agree that Murdoch is a stain on #auspol How did Labor not see this coming when Shorten has never been close to any LNP leader since being installed?? Most people are voting for the leader of the party even if that is not the design of our system!,"['@rgloveroz', 'Whilst', 'Murdoch', '#auspol', 'How', 'Labor', 'Shorten', 'Most']"
"Download Poker With Bob v 2.0.6 apk   hack mod (Money)   - https://t.co/QF2pZx94BJ

    Alberto Fernández RisksizBahis FavorisenDe #FCBSGE #MMKDestinedToLoveYou KaybetmeyenBahis RetrobetTe Robben #PBB8Batch3BigJump #10oranLunabette #ausvotes forvetbette kaybetmekyok","['Download', 'Poker', 'With', 'Bob', 'Money', 'Alberto', '#FCBSGE', '#MMKDestinedToLoveYou', 'Robben', '#PBB8Batch3BigJump', '#10oranLunabette', '#ausvotes']"
Tell us about the surf club dunnies Tony #ausvotes,"['Tell', 'Tony', '#ausvotes']"
This is the closets thing to a #democracysausage at my booth. #ausvotes #unaustralian 😢 https://t.co/1l5Yov1LAb,"['This', '#democracysausage', '#ausvotes', '#unaustralian']"
"#Auspol odds change

Next Sworn in Government - United Australia Party
501 (+250)

Next Sworn in Government - Shooters, Fishers and Farmers
501 (+100)

Next Federal Election - Hung Parliament - Hung Parliament
4.75 (+0.25)","['#Auspol', 'Next', 'Sworn', 'Government', 'United', 'Australia', 'Party', 'Next', 'Sworn', 'Government', 'Shooters', 'Fishers', 'Farmers', 'Next', 'Federal', 'Election', 'Hung', 'Parliament', 'Hung', 'Parliament']"
"My brother has called it for the Pirate Party, everyone go to bed #AUSVote19 #auspol take that @AntonyGreenABC https://t.co/fJyMmK6kUy","['My', 'Pirate', 'Party', '#AUSVote19', '#auspol', '@AntonyGreenABC']"
Voting for culture this election? Here's how the parties' arts policies stack up https://t.co/7rwiCJZEES,"['Voting', 'Here']"
These people need to be regulated. #auspol #ausvotes2019 https://t.co/OJvnUZ2Wv7,"['These', '#auspol', '#ausvotes2019']"
"Well... look.... I’d normally say that we deserve  better media reporting than this.... but the majority have spoken so... @ABCmediawatch I guess putting literal targets on “enemies” is just getting what the majority asked for? 

#australia 🙈 #auspol #mediawatch https://t.co/FT3yrnW23Y","['Well', '@ABCmediawatch', '#australia', '#auspol', '#mediawatch']"
Fuck you Australia.... #auspol #ausvotes https://t.co/Pku7fj6gPX,"['Fuck', 'Australia', '#auspol', '#ausvotes']"
Great another 4 years of these chomo religious pants shitters in charge forcing their lies and bullshit on us all say goodbye to Australia and it’s values #AustraliaDecides #ScottMorrison,"['Great', 'Australia', '#AustraliaDecides', '#ScottMorrison']"
